Name,Cost,Type,Effect
Gateway Sneak,{2}{U},Creature â€” Vedalken Rogue,"Whenever a Gate enters the battlefield under your control, Gateway Sneak can't be blocked this turn. Whenever Gateway Sneak deals combat damage to a player, draw a card."
Gauntlets of Light,{2}{W},Enchantment â€” Aura,"Enchant creature Enchanted creature gets +0/+2 and assigns combat damage equal to its toughness rather than its power. Enchanted creature has ""{2}{W}: Untap this creature."""
Generous Stray,{2}{G},Creature â€” Cat,"When Generous Stray enters the battlefield, draw a card."
Get the Point,{3}{B}{R},Instant,Destroy target creature. Scry 1.
Ghor-Clan Wrecker,{3}{R},Creature â€” Human Warrior,Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.) Menace (This creature can't be blocked except by two or more creatures.)
Giant Growth,{G},Instant,Target creature gets +3/+3 until end of turn.
Giant Killer,{W},Creature â€” Human Peasant,"{1}{W}, {T}: Tap target creature."
Giant Opportunity,{2}{G},Sorcery,"You may sacrifice two Foods. If you do, create a 7/7 green Giant creature token. Otherwise, create three Food tokens. (They're artifacts with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
Giant's Skewer,{1}{B},Artifact â€” Equipment,"Equipped creature gets +2/+1. Whenever equipped creature deals combat damage to a creature, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."") Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)"
Gideon Blackblade,{1}{W}{W},Legendary Planeswalker â€” Gideon,"As long as it's your turn, Gideon Blackblade is a 4/4 Human Soldier creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to Gideon Blackblade during your turn. [+1]: Up to one other target creature you control gains your choice of vigilance, lifelink, or indestructible until end of turn. [âˆ’6]: Exile target nonland permanent."
Gideon's Battle Cry,{2}{W}{W},Sorcery,"Put a +1/+1 counter on each creature you control. You may search your library and/or graveyard for a card named Gideon, the Oathsworn, reveal it, and put it into your hand. If you search your library this way, shuffle it."
Gideon's Company,{3}{W},Creature â€” Human Soldier,"Whenever you gain life, put two +1/+1 counters on Gideon's Company. {3}{W}: Put a loyalty counter on target Gideon planeswalker."
Gideon's Sacrifice,{W},Instant,Choose a creature or planeswalker you control. All damage that would be dealt this turn to you and permanents you control is dealt to the chosen permanent instead (if it's still on the battlefield).
Gideon's Triumph,{1}{W},Instant,"Target opponent sacrifices a creature that attacked or blocked this turn. If you control a Gideon planeswalker, that player sacrifices two of those creatures instead."
"Gideon, the Oathsworn",{4}{W}{W},Legendary Planeswalker â€” Gideon,"Whenever you attack with two or more non-Gideon creatures, put a +1/+1 counter on each of those creatures. [+2]: Until end of turn, Gideon, the Oathsworn becomes a 5/5 white Soldier creature that's still a planeswalker. Prevent all damage that would be dealt to him this turn. (He can't attack if he was cast this turn.) [âˆ’9]: Exile Gideon, the Oathsworn and each creature your opponents control."
Gift of Paradise,{2}{G},Enchantment â€” Aura,"Enchant land When Gift of Paradise enters the battlefield, you gain 3 life. Enchanted land has ""{T}: Add two mana of any one color."""
Gift of Strength,{1}{G},Instant,Target creature gets +3/+3 and gains reach until end of turn.
Gift of the Fae,{1}{W},Sorcery â€” Adventure,Target creature gets +2/+1 and gains flying until end of turn. (Then exile this card. You may cast the creature later from exile.)
Gilded Goose,{G},Creature â€” Bird,"Flying When Gilded Goose enters the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."") {1}{G}, {T}: Create a Food token. {T}, Sacrifice a Food: Add one mana of any color."
Gingerbread Cabin,nan,Land â€” Forest,"({T}: Add {G}.) Gingerbread Cabin enters the battlefield tapped unless you control three or more other Forests. When Gingerbread Cabin enters the battlefield untapped, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
Gingerbrute,{1},Artifact Creature â€” Food Golem,"Haste {1}: Gingerbrute can't be blocked this turn except by creatures with haste. {2}, {T}, Sacrifice Gingerbrute: You gain 3 life."
Gird for Battle,{W},Sorcery,Put a +1/+1 counter on each of up to two target creatures.
Glaive of the Guildpact,{2},Artifact â€” Equipment,Equipped creature gets +1/+0 for each Gate you control and has vigilance and menace. (A creature with menace can't be blocked except by two or more creatures.) Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)
Glaring Aegis,{W},Enchantment â€” Aura,"Enchant creature When Glaring Aegis enters the battlefield, tap target creature an opponent controls. Enchanted creature gets +1/+3."
Glass Casket,{1}{W},Artifact,"When Glass Casket enters the battlefield, exile target creature an opponent controls with converted mana cost 3 or less until Glass Casket leaves the battlefield."
Glass of the Guildpact,{2},Artifact,Multicolored creatures you control get +1/+1.
Gleaming Overseer,{1}{U}{B},Creature â€” Zombie Wizard,"When Gleaming Overseer enters the battlefield, amass 1. (Put a +1/+1 counter on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.) Zombie tokens you control have hexproof and menace."
Glint-Horn Buccaneer,{1}{R}{R},Creature â€” Minotaur Pirate,"Haste Whenever you discard a card, Glint-Horn Buccaneer deals 1 damage to each opponent. {1}{R}, Discard a card: Draw a card. Activate this ability only if Glint-Horn Buccaneer is attacking."
Glowspore Shaman,{B}{G},Creature â€” Elf Shaman,"When Glowspore Shaman enters the battlefield, put the top three cards of your library into your graveyard. You may put a land card from your graveyard on top of your library."
Gluttonous Troll,{2}{B}{G},Creature â€” Troll,"Trample When Gluttonous Troll enters the battlefield, create a number of Food tokens equal to the number of opponents you have. (Food tokens are artifacts with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."") {1}{G}, Sacrifice another nonland permanent: Gluttonous Troll gets +2/+2 until end of turn."
Gnarlback Rhino,{2}{G}{G},Creature â€” Rhino,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.) Whenever you cast a spell that targets Gnarlback Rhino, draw a card."
Goblin Assailant,{1}{R},Creature â€” Goblin Warrior,nan
Goblin Assault Team,{3}{R},Creature â€” Goblin Warrior,"Haste When Goblin Assault Team dies, put a +1/+1 counter on target creature you control."
Goblin Banneret,{R},Creature â€” Goblin Soldier,"Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.) {1}{R}: Goblin Banneret gets +2/+0 until end of turn."
Goblin Bird-Grabber,{1}{R},Creature â€” Goblin,{R}: Goblin Bird-Grabber gains flying until end of turn. Activate this ability only if you control a creature with flying.
Goblin Cratermaker,{1}{R},Creature â€” Goblin Warrior,"{1}, Sacrifice Goblin Cratermaker: Choose one â€” â€¢ Goblin Cratermaker deals 2 damage to target creature. â€¢ Destroy target colorless nonland permanent."
Goblin Electromancer,{U}{R},Creature â€” Goblin Wizard,Instant and sorcery spells you cast cost {1} less to cast.
Goblin Gathering,{2}{R},Sorcery,Create a number of 1/1 red Goblin creature tokens equal to two plus the number of cards named Goblin Gathering in your graveyard.
Goblin Locksmith,{1}{R},Creature â€” Goblin Rogue,"Whenever Goblin Locksmith attacks, creatures with defender can't block this turn."
Goblin Ringleader,{3}{R},Creature â€” Goblin,"Haste (This creature can attack and {T} as soon as it comes under your control.) When Goblin Ringleader enters the battlefield, reveal the top four cards of your library. Put all Goblin cards revealed this way into your hand and the rest on the bottom of your library in any order."
Goblin Smuggler,{2}{R},Creature â€” Goblin Rogue,Haste (This creature can attack and {T} as soon as it comes under your control.) {T}: Another target creature with power 2 or less can't be blocked this turn.
God-Eternal Bontu,{3}{B}{B},Legendary Creature â€” Zombie God,"Menace When God-Eternal Bontu enters the battlefield, sacrifice any number of other permanents, then draw that many cards. When God-Eternal Bontu dies or is put into exile from the battlefield, you may put it into its owner's library third from the top."
God-Eternal Kefnet,{2}{U}{U},Legendary Creature â€” Zombie God,"Flying You may reveal the first card you draw each turn as you draw it. Whenever you reveal an instant or sorcery card this way, copy that card and you may cast the copy. That copy costs {2} less to cast. When God-Eternal Kefnet dies or is put into exile from the battlefield, you may put it into its owner's library third from the top."
God-Eternal Oketra,{3}{W}{W},Legendary Creature â€” Zombie God,"Double strike Whenever you cast a creature spell, create a 4/4 black Zombie Warrior creature token with vigilance. When God-Eternal Oketra dies or is put into exile from the battlefield, you may put it into its owner's library third from the top."
God-Eternal Rhonas,{3}{G}{G},Legendary Creature â€” Zombie God,"Deathtouch When God-Eternal Rhonas enters the battlefield, double the power of each other creature you control until end of turn. Those creatures gain vigilance until end of turn. When God-Eternal Rhonas dies or is put into exile from the battlefield, you may put it into its owner's library third from the top."
God-Pharaoh's Statue,{6},Legendary Artifact,"Spells your opponents cast cost {2} more to cast. At the beginning of your end step, each opponent loses 1 life."
Godless Shrine,nan,Land â€” Plains Swamp,"({T}: Add {W} or {B}.) As Godless Shrine enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Gods Willing,{W},Instant,"Target creature you control gains protection from the color of your choice until end of turn. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything of that color.) Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)"
Golden Egg,{2},Artifact â€” Food,"When Golden Egg enters the battlefield, draw a card. {1}, {T}, Sacrifice Golden Egg: Add one mana of any color. {2}, {T}, Sacrifice Golden Egg: You gain 3 life."
Goldmane Griffin,{3}{W}{W},Creature â€” Griffin,"Flying, vigilance When Goldmane Griffin enters the battlefield, you may search your library and/or graveyard for a card named Ajani, Inspiring Leader, reveal it, and put it into your hand. If you search your library this way, shuffle it."
